game_id,rush_attempt,pass_attempt,sack,passing_yards,rushing_yards,home_team,away_team,total_home_score,total_away_score,is_home_team,win
2024_01_ARI_BUF,26.0,35.0,4.0,162.0,124.0,BUF,ARI,34,28,False,0
2024_01_ARI_BUF,33.0,25.0,2.0,232.0,130.0,BUF,ARI,34,28,True,1
2024_01_BAL_KC,32.0,42.0,1.0,273.0,185.0,KC,BAL,27,20,False,0
2024_01_BAL_KC,20.0,30.0,2.0,291.0,72.0,KC,BAL,27,20,True,1
2024_01_CAR_NO,20.0,35.0,4.0,161.0,58.0,NO,CAR,47,10,False,0
2024_01_CAR_NO,37.0,25.0,1.0,200.0,180.0,NO,CAR,47,10,True,1
2024_01_DAL_CLE,19.0,51.0,6.0,169.0,93.0,CLE,DAL,17,33,True,0
2024_01_DAL_CLE,25.0,35.0,3.0,179.0,102.0,CLE,DAL,17,33,False,1
2024_01_DEN_SEA,25.0,44.0,2.0,138.0,99.0,SEA,DEN,26,20,False,0
2024_01_DEN_SEA,33.0,28.0,2.0,171.0,146.0,SEA,DEN,26,20,True,1
2024_01_GB_PHI,22.0,37.0,2.0,260.0,163.0,PHI,GB,34,29,False,0
2024_01_GB_PHI,38.0,36.0,2.0,278.0,144.0,PHI,GB,34,29,True,1
2024_01_HOU_IND,41.0,36.0,4.0,234.0,213.0,IND,HOU,27,29,False,1
2024_01_HOU_IND,23.0,21.0,2.0,212.0,104.0,IND,HOU,27,29,True,0
2024_01_JAX_MIA,26.0,24.0,3.0,162.0,128.0,MIA,JAX,20,17,False,0
2024_01_JAX_MIA,25.0,40.0,3.0,338.0,81.0,MIA,JAX,20,17,True,1
2024_01_LA_DET,31.0,30.0,2.0,217.0,163.0,DET,LA,26,20,True,1
2024_01_LA_DET,23.0,51.0,2.0,317.0,83.0,DET,LA,26,20,False,0
2024_01_LV_LAC,28.0,27.0,1.0,144.0,176.0,LAC,LV,22,10,True,1
2024_01_LV_LAC,22.0,37.0,4.0,257.0,71.0,LAC,LV,22,10,False,0
2024_01_MIN_NYG,26.0,25.0,1.0,208.0,111.0,NYG,MIN,6,28,False,1
2024_01_MIN_NYG,21.0,47.0,5.0,186.0,74.0,NYG,MIN,6,28,True,0
2024_01_NE_CIN,16.0,32.0,3.0,164.0,70.0,CIN,NE,10,16,True,0
